
=== Sort: DEFAULT ===
1. POST BRIDGE (Ask: 1420690, Mult: 3.675161168088108, Rev30d: 32213.78, Rank: 178, Growth: 66.65164684343155)
2. Anonymous startup (Ask: 800000, Mult: 3.2666088511613163, Rev30d: 20408.52446810885, Rank: 230, Growth: 32.337580742809855)
3. MyClaw.host (Ask: 39000, Mult: 0.7922771263499183, Rev30d: 4102.1, Rank: 1052, Growth: 524.3683409436835)
4. Cattus AI (Ask: 34000, Mult: 1.2367055286451967, Rev30d: 2291.0331260807357, Rank: 1085, Growth: 657.2812502572286)
5. Virlo (Ask: 1000000, Mult: 4.556784368406903, Rev30d: 18287.75, Rank: 180, Growth: 23.59577519427)
6. AppAlchemy (Ask: 75000, Mult: 0.585929626570643, Rev30d: 10666.81, Rank: 210, Growth: 9.101165082504904)
7. GalleryWall (Ask: 60000, Mult: 2.217973570626932, Rev30d: 2254.31, Rank: 1251, Growth: 0)
8. Mockupia (Ask: 5000, Mult: 5.496196631930704, Rev30d: 75.81, Rank: 1269, Growth: 57.31479560074706)
9. PxlSafe - Tools for Video Editors (Ask: 85000, Mult: 1.1851579188069226, Rev30d: 5976.7, Rank: 424, Growth: -34.42128293638864)
10. GojiberryAI (Ask: 11149999, Mult: 5.991632153880755, Rev30d: 155077.37448994027, Rank: 132, Growth: 65.57232687944065)

=== Sort: &sort=asking-price-asc ===
1. POST BRIDGE (Ask: 1420690, Mult: 3.675161168088108, Rev30d: 32213.78, Rank: 178, Growth: 66.65164684343155)
2. Anonymous startup (Ask: 800000, Mult: 3.2666088511613163, Rev30d: 20408.52446810885, Rank: 230, Growth: 32.337580742809855)
3. MyClaw.host (Ask: 39000, Mult: 0.7922771263499183, Rev30d: 4102.1, Rank: 1052, Growth: 524.3683409436835)
4. Cattus AI (Ask: 34000, Mult: 1.2367055286451967, Rev30d: 2291.0331260807357, Rank: 1085, Growth: 657.2812502572286)
5. Virlo (Ask: 1000000, Mult: 4.556784368406903, Rev30d: 18287.75, Rank: 180, Growth: 23.59577519427)
6. AppAlchemy (Ask: 75000, Mult: 0.585929626570643, Rev30d: 10666.81, Rank: 210, Growth: 9.101165082504904)
7. GalleryWall (Ask: 60000, Mult: 2.217973570626932, Rev30d: 2254.31, Rank: 1251, Growth: 0)
8. Mockupia (Ask: 5000, Mult: 5.496196631930704, Rev30d: 75.81, Rank: 1269, Growth: 57.31479560074706)
9. PxlSafe - Tools for Video Editors (Ask: 85000, Mult: 1.1851579188069226, Rev30d: 5976.7, Rank: 424, Growth: -34.42128293638864)
10. GojiberryAI (Ask: 11149999, Mult: 5.991632153880755, Rev30d: 155077.37448994027, Rank: 132, Growth: 65.57232687944065)

=== Sort: &sort=asking-price-desc ===
1. POST BRIDGE (Ask: 1420690, Mult: 3.675161168088108, Rev30d: 32213.78, Rank: 178, Growth: 66.65164684343155)
2. Anonymous startup (Ask: 800000, Mult: 3.2666088511613163, Rev30d: 20408.52446810885, Rank: 230, Growth: 32.337580742809855)
